code,dividOperateDate,foreAdjustFactor,backAdjustFactor,adjustFactor,stock_code
sz.002271,2016-06-03,0.295857,12.710654,12.710654,002271
sz.002271,2017-06-01,0.297215,12.768996,12.768996,002271
sz.002271,2018-06-20,0.507434,21.800409,21.800409,002271
sz.002271,2019-05-30,0.515169,22.132732,22.132732,002271
sz.002271,2019-07-19,0.515169,22.132732,22.132732,002271
sz.002271,2020-06-15,0.518929,22.294282,22.294282,002271
sz.002271,2020-10-22,0.778394,33.441427,33.441427,002271
sz.002271,2021-05-31,0.782494,33.617581,33.617581,002271
sz.002271,2022-05-31,0.787728,33.842448,33.842448,002271
sz.002271,2023-05-19,0.790691,33.969734,33.969734,002271
sz.002271,2024-05-22,0.818185,35.150929,35.150929,002271
sz.002271,2024-09-26,0.865570,37.186693,37.186693,002271
sz.002271,2025-04-01,0.928125,39.874189,39.874189,002271
sz.002271,2025-08-27,1.000000,42.962081,42.962081,002271
